"* instances generated with HT_HG-U133A or HT_HG-U133A use five or six vehicle scans; the identifiers for these are constructed by appending each of the six extensions (eg "".H01"") in this field to the twenty-two character number preceding the period (ie ""."") from the corresponding perturbation_scan_id"						
			MCF7		PC3	
102	Training 	1	5500024024214122006606.H03	.H01.G02.E03.D04.B05.A06	5500024024213121906561.H03	.H01.G02.E03.D04.B05.A06
103	Training 	1	5500024030403071907257.B03	.G02.E03.D04.B05.A06	5500024030700072107992.B03	.H01.E03.D04.B05.A06
104	Training 	1	EC2004012212AA	EC2004012208AA	EC2005030717AA	EC2005030714AA
105	Training 	1	'5500024028849050407172.E12	.H07.G08.E09.D10.B11.A12	'5500024034290101707044.E06	.H01.G02.E03.D04.B05.A06
106	Training 	1	5500024028849050407169.C11	.G08.E09.D10.B11.A12	5500024034290101707046.C11	.H07.G08.E09.D10.B11.A12
107	Training 	1	'5500024030403071907255.E12	.H07.G08.E09.D10.B11.A12	'5500024031723100807775.E12	.H07.G08.E09.D10.B11.A12
108	Training 	1	5500024030403071907253.B08	.H07.G08.E09.D10.B11.A12	5500024031723100807771.B08	.H07.G08.E09.D10.B11.A12
109	Training 	1	5500024030403071907251.D09	.H07.G08.E09.D10.B11.A12	5500024030700072107986.D09	.H07.G08.E09.D10.B11.A12
110	Training 	1	5500024035736031208618.A11	.H07.G08.E09.D10.B11.A12	5500024031723100807773.A11	.H07.G08.E09.D10.B11.A12
111	Training 	1	5500024030403071907257.A04	.G02.E03.D04.B05.A06	5500024030700072107992.A04	.H01.E03.D04.B05.A06
112	Training 	0	5500024034290101707050.H06	.H01.E03.D04.B05.A06	5500024031723100807771.H06	.H01.G02.E03.D04.B05.A06
113	Training 	1	5500024030760072207031.B04	.H01.G02.E03.D04.A06	5500024030700072107991.B04	.H01.G02.E03.D04.B05.A06
114	Training 	0	5500024024214122006606.A05	.H01.G02.E03.D04.B05.A06	5500024024213121906561.A05	.H01.G02.E03.D04.B05.A06
115	Training 	1	5500024034290101707045.B03	.H01.G02.E03.D04.B05.A06	5500024031330081907229.B03	.H01.E03.D04.B05.A06
116	Training 	0	5500024031330081907228.B02	.H01.G02.E03.D04.B05.A06	5500024030760072207026.B02	.H01.G02.E03.D04.A06
117	Training 	1	5500024037289120508304.F10	.H07.E09.D10.B11.A12	5500024037498121108438.F04	.H01.G02.E03.D04.B05.A06
118	Training 	0	'5500024024214122006606.E01	.H01.G02.E03.D04.B05.A06	'5500024034290101707044.E01	.H01.G02.E03.D04.B05.A06
119	Training 	0	5500024024211121606513.H09	.H07.G08.E09.D10.B11.A12	5500024031723100807771.H09	.H07.G08.E09.D10.B11.A12
120	Training 	1	5500024032848101507997.A07	.G08.E09.D10.B11.A12	5500024035736031208613.A07	.H07.G08.E09.D10.B11.A12
121	Training 	0	'5500024024214122006606.E06	.H01.G02.E03.D04.B05.A06	'5500024024213121906561.E06	.H01.G02.E03.D04.B05.A06
122	Training 	1	5500024030760072207031.H10	.H07.G08.E09.D10.B11.A12	5500024030700072107991.H10	.H07.G08.E09.D10.B11.A12
123	Training 	1	5500024024213121906562.D09	.H07.G08.E09.D10.B11.A12	5500024024213121906564.D03	.H01.G02.E03.D04.B05.A06
124	Training 	1	5500024024214122006606.D11	.H07.G08.E09.D10.B11.A12	5500024024213121906561.D11	.H07.G08.E09.D10.B11.A12
125	Training 	1	5500024037498121108437.F12	.H07.G08.E09.D10.B11.A12	5500024034290101707044.F12	.H07.G08.E09.D10.B11.A12
126	Training 	0	5500024031330081907228.A04	.H01.G02.E03.D04.B05.A06	5500024030760072207026.A04	.H01.G02.E03.D04.A06
127	Training 	0	5500024031330081907228.D09	.H07.G08.E09.D10.B11.A12	5500024030760072207026.D09	.H07.G08.E09.D10.B11.A12
128	Training 	1	5500024030760072207031.G10	.H07.G08.E09.D10.B11.A12	5500024030700072107991.G10	.H07.G08.E09.D10.B11.A12
129	Training 	0	5500024035101021908499.G01	.H01.E03.D04.B05.A06	5500024037498121108440.G07	.H07.G08.E09.D10.B11.A12
130	Training 	1	5500024030402071707279.A02	.H01.G02.E03.D04.B05.A06	5500024031723100807776.A02	.H01.G02.E03.D04.B05.A06
131	Training 	1	5500024035735011708571.H12	.H07.G08.E09.D10.B11.A12	5500024034290101707046.H12	.H07.G08.E09.D10.B11.A12
132	Training 	0	5500024031723100807770.B10	.H07.G08.E09.D10.B11.A12	5500024031723100807769.B10	.H07.G08.E09.D10.B11.A12
133	Training 	1	5500024031723100807770.F08	.H07.G08.E09.D10.B11.A12	5500024031723100807769.F08	.H07.G08.E09.D10.B11.A12
134	Training 	1	5500024034290101707050.B04	.H01.E03.D04.B05.A06	5500024031723100807771.B04	.H01.G02.E03.D04.B05.A06
135	Training 	1	5500024031723100807770.F06	.H01.G02.D04.B05.A06	5500024031723100807769.F06	.H01.G02.E03.D04.B05.A06
136	Training 	0	5500024030403071907253.G11	.H07.G08.E09.D10.B11.A12	5500024031723100807771.G11	.H07.G08.E09.D10.B11.A12
137	Training 	0	5500024024213121906558.B02	.H01.G02.E03.B05.A06	5500024030700072107991.B02	.H01.G02.E03.D04.B05.A06
138	Training 	0	5500024030403071907252.C01	.H01.G02.E03.D04.B05.A06	5500024034290101707046.C01	.H01.G02.E03.D04.B05.A06
139	Training 	0	'5500024035101021908499.E01	.H01.E03.D04.B05.A06	'5500024037498121108440.E07	.H07.G08.E09.D10.B11.A12
140	Training 	0	5500024024214122006606.C04	.H01.G02.E03.D04.B05.A06	5500024031723100807773.C10	.H07.G08.E09.D10.B11.A12
141	Training 	1	5500024035100021608459.C04	5500024035100021608459.C01	5500024035100021608459.C10	5500024035100021608459.C07
142	Training 	1	5500024024214122006606.H09	.H07.G08.E09.D10.B11.A12	5500024024213121906561.H09	.H07.G08.E09.D10.B11.A12
143	Training 	1	5500024034290101707045.D08	.H07.G08.E09.D10.B11.A12	5500024031330081907229.D08	.G08.E09.D10.B11.A12
144	Training 	1	5500024031723100807770.F12	.H07.G08.E09.D10.B11.A12	610611110806.F06	.H01.G02.E03.D04.B05.A06
145	Training 	0	5500024030402071707279.A05	.H01.G02.E03.D04.B05.A06	5500024031723100807776.A05	.H01.G02.E03.D04.B05.A06
146	Training 	1	5500024034290101707050.H02	.H01.E03.D04.B05.A06	5500024031723100807771.H02	.H01.G02.E03.D04.B05.A06
147	Training 	1	5500024024213121906562.F03	.H01.G02.E03.D04.B05.A06	5500024031723100807773.F03	.H01.G02.E03.D04.B05.A06
148	Training 	1	5500024030403071907255.H12	.H07.G08.E09.D10.B11.A12	5500024031723100807775.H12	.H07.G08.E09.D10.B11.A12
149	Training 	1	5500024032848101507997.F09	.G08.E09.D10.B11.A12	5500024035736031208613.F09	.H07.G08.E09.D10.B11.A12
150	Training 	1	5500024030402071707279.D05	.H01.G02.E03.D04.B05.A06	5500024031723100807776.D05	.H01.G02.E03.D04.B05.A06
151	Training 	1	5500024030403071907257.F11	.H07.G08.E09.D10.B11.A12	5500024030700072107992.F11	.H07.G08.D10.B11.A12
152	Training 	0	5500024032848101507997.F11	.G08.E09.D10.B11.A12	5500024035736031208613.F11	.H07.G08.E09.D10.B11.A12
153	Training 	0	5500024024214122006606.G12	.H07.G08.E09.D10.B11.A12	5500024024213121906561.G12	.H07.G08.E09.D10.B11.A12
154	Training 	1	5500024031330081907228.F02	.H01.G02.E03.D04.B05.A06	5500024030760072207026.F02	.H01.G02.E03.D04.A06
155	Training 	1	5500024035735011708571.C10	.H07.G08.E09.D10.B11.A12	5500024034290101707046.C10	.H07.G08.E09.D10.B11.A12
156	Training 	1	5500024028849050407172.F11	.H07.G08.E09.D10.B11.A12	5500024034290101707044.F11	.H07.G08.E09.D10.B11.A12
157	Training 	0	'5500024030403071907256.E06	.H01.G02.E03.D04.B05.A06	'5500024030760072207026.E06	.H01.G02.E03.D04.A06
158	Training 	1	5500024031723100807772.H05	.H01.G02.E03.D04.B05.A06	5500024030700072107986.H05	.H01.G02.E03.D04.B05.A06
159	Training 	1	5500024024213121906562.C05	.H01.G02.E03.D04.B05.A06	5500024017802120306174.C11	.H07.G08.E09.D10.B11.A12
160	Training 	0	5500024024213121906558.F05	.H01.G02.E03.B05.A06	5500024030700072107986.F05	.H01.G02.E03.D04.B05.A06
161	Training 	1	5500024035735011708571.G07	.H07.G08.E09.D10.B11.A12	5500024034290101707046.G07	.H07.G08.E09.D10.B11.A12
162	Training 	0	5500024031330081907228.B06	.H01.G02.E03.D04.B05.A06	5500024030760072207026.B06	.H01.G02.E03.D04.A06
163	Training 	0	5500024030403071907257.H11	.H07.G08.E09.D10.B11.A12	5500024030700072107992.H11	.H07.G08.D10.B11.A12
164	Training 	1	'5500024030403071907253.E04	.H01.G02.E03.D04.B05.A06	5500024031723100807773.H06	.H01.G02.E03.D04.B05.A06
165	Training 	1	'5500024024214122006606.E02	.H01.G02.E03.D04.B05.A06	'5500024024213121906561.E02	.H01.G02.E03.D04.B05.A06
166	Training 	0	5500024030700072107994.B03	.H01.E03.D04.B05.A06	5500024034290101707044.B03	.H01.G02.E03.D04.B05.A06
167	Training 	1	5500024035736031208618.B09	.H07.G08.E09.D10.B11.A12	5500024034290101707046.B09	.H07.G08.E09.D10.B11.A12
168	Training 	1	5500024024213121906562.D11	.H07.G08.E09.D10.B11.A12	5500024024213121906564.D05	.H01.G02.E03.D04.B05.A06
169	Training 	1	5500024024214122006606.H05	.H01.G02.E03.D04.B05.A06	5500024024213121906561.H05	.H01.G02.E03.D04.B05.A06
170	Training 	0	5500024035736031208618.C08	.H07.G08.E09.D10.B11.A12	5500024034290101707044.C02	.H01.G02.E03.D04.B05.A06
171	Training 	1	5500024035735011708571.A05	.H01.G02.E03.D04.B05.A06	5500024034290101707046.A05	.H01.G02.E03.D04.B05.A06
172	Training 	1	5500024030403071907253.B07	.H07.G08.E09.D10.B11.A12	5500024031723100807771.B07	.H07.G08.E09.D10.B11.A12
173	Training 	1	5500024035735011708571.B03	.H01.G02.E03.D04.B05.A06	5500024024213121906561.B03	.H01.G02.E03.D04.B05.A06
174	Training 	1	5500024024214122006606.G10	.H07.G08.E09.D10.B11.A12	5500024024213121906561.G10	.H07.G08.E09.D10.B11.A12
175	Training 	0	5500024030403071907256.H05	.H01.G02.E03.D04.B05.A06	5500024030760072207026.H11	.H07.G08.E09.D10.B11.A12
176	Training 	1	5500024024213121906562.C02	.H01.G02.E03.D04.B05.A06	5500024017802120306174.C08	.H07.G08.E09.D10.B11.A12
177	Training 	1	5500024030403071907257.F09	.H07.G08.E09.D10.B11.A12	5500024030700072107992.F09	.H07.G08.D10.B11.A12
178	Training 	1	5500024031723100807770.C02	.H01.G02.D04.B05.A06	5500024031723100807769.C02	.H01.G02.E03.D04.B05.A06
179	Training 	1	'5500024030700072107988.E06	.H01.G02.E03.D04.B05.A06	'5500024030700072107992.E06	.H01.E03.D04.B05.A06
180	Training 	1	5500024030403071907257.C07	.H07.G08.E09.D10.B11.A12	5500024030700072107992.C07	.H07.G08.D10.B11.A12
181	Training 	0	5500024024214122006606.A03	.H01.G02.E03.D04.B05.A06	5500024024213121906561.A03	.H01.G02.E03.D04.B05.A06
182	Training 	1	5500024024214122006606.F10	.H07.G08.E09.D10.B11.A12	5500024024213121906561.F10	.H07.G08.E09.D10.B11.A12
183	Training 	1	5500024024213121906562.C09	.H07.G08.E09.D10.B11.A12	5500024024213121906564.C03	.H01.G02.E03.D04.B05.A06
184	Training 	0	5500024030403071907257.B01	.G02.E03.D04.B05.A06	5500024030700072107992.B01	.H01.E03.D04.B05.A06
185	Training 	0	5500024051859013109328.G01	.H01.G02.E03.D04.B05.A06	5500024037498121108438.G01	.H01.G02.E03.D04.B05.A06
186	Training 	1	'5500024035736031208617.E03	'5500024035736031208617.E01	5500024035736031208617.B08	5500024035736031208617.B07
187	Training 	1	5500024031723100807770.A08	.H07.G08.E09.D10.B11.A12	5500024031723100807769.A08	.H07.G08.E09.D10.B11.A12
188	Training 	1	5500024032848101507997.H06	.H01.E03.D04.B05.A06	610611110806.H12	.H07.G08.E09.D10.B11.A12
189	Training 	0	'5500024030403071907253.E02	.H01.G02.E03.D04.B05.A06	'5500024017802120306174.E08	.H07.G08.E09.D10.B11.A12
190	Training 	1	5500024030402071707279.G12	.H07.G08.E09.D10.B11.A12	5500024031723100807776.G12	.H07.G08.E09.D10.B11.A12
1	Validation		5500024024214122006606.C11	.H07.G08.E09.D10.B11.A12	5500024024213121906561.C11	.H07.G08.E09.D10.B11.A12
2	Validation		'5500024024213121906562.E08	.H07.G08.E09.D10.B11.A12	'5500024024213121906564.E02	.H01.G02.E03.D04.B05.A06
3	Validation		5500024030700072107994.H08	.H07.G08.E09.D10.B11.A12	5500024031723100807771.H08	.H07.G08.E09.D10.B11.A12
4	Validation		5500024032848101507997.D06	.H01.E03.D04.B05.A06	5500024035736031208613.D06	.H01.E03.D04.B05.A06
5	Validation		5500024028849050407169.F03	.H01.G02.E03.D04.B05.A06	5500024030700072107991.F03	.H01.G02.E03.D04.B05.A06
6	Validation		5500024028849050407172.B04	.H01.G02.E03.D04.B05.A06	5500024031330081907229.B10	.G08.E09.D10.B11.A12
7	Validation		5500024030402071707277.C05	.G02.E03.D04.B05.A06	5500024030700072107992.C05	.H01.E03.D04.B05.A06
8	Validation		5500024031723100807770.D12	.H07.G08.E09.D10.B11.A12	5500024031723100807769.D12	.H07.G08.E09.D10.B11.A12
9	Validation		5500024030403071907255.G06	.H01.E03.D04.B05.A06	5500024031723100807775.G06	.H01.G02.E03.D04.B05.A06
10	Validation		'5500024030402071707277.E04	.G02.E03.D04.B05.A06	'5500024030700072107992.E10	.H07.G08.D10.B11.A12
11	Validation		5500024028849050407172.A08	.H07.G08.E09.D10.B11.A12	5500024034290101707046.A02	.H01.G02.E03.D04.B05.A06
